Disease_Name_English,Disease_Name_Spanish,Diagnosis,Treatments,Tests,Medications_Drugs
Helicobacter pylori (H. pylori) infection,Helicobacter pylori (H. pylori) infection,"Diagnosis of H. pylori infection involves testing to determine if symptoms are caused by the bacteria.  Tests may include stool antigen test; stool PCR test; urea breath test; and upper endoscopy with biopsy.  The choice of test depends on factors such as symptom severity, patient age, and availability of testing resources.",Treatment typically involves a combination of at least two antibiotics;  Treatment may also include proton pump inhibitors (PPIs) and bismuth subsalicylate; Histamine (H-2) blockers may also be used.,Stool antigen test; Stool PCR test; Urea breath test; Upper endoscopy; Biopsy,Omeprazole (Prilosec); Esomeprazole (Nexium); Lansoprazole (Prevacid); Pantoprazole (Protonix); Bismuth subsalicylate
Hemangioma,Hemangioma,Visual inspection by a healthcare provider is usually sufficient for diagnosis; tests are typically not needed.,Observation; Topical timolol gel; Oral propranolol; Corticosteroids (injection or topical application); Laser surgery,Information not found,Timolol; Propranolol; Corticosteroids
Hemifacial spasm,Hemifacial spasm,Physical exam; MRI (may include magnetic resonance angiogram to visualize blood vessels near the facial nerve);  Imaging tests may be used if symptoms are atypical or surgery is being considered.  Diagnosis does not always require imaging.,"Botulinum toxin injections (Botox);  Other medications; Surgery (decompression, destroying parts of the facial nerve with surgery, heat, and radio waves (radiofrequency thermocoagulation))",MRI; Magnetic resonance angiogram,Botulinum toxin (Botox); Anticonvulsant drugs (specific drug names not specified)
Hemochromatosis,Hemochromatosis,"Diagnosis can be challenging due to nonspecific early symptoms.  High iron levels in blood tests may be the first indication, often discovered incidentally during testing for other reasons.  Family history and genetic testing are also important diagnostic tools.  Further tests are used to confirm diagnosis and assess organ damage.",Phlebotomy (regular blood removal); Chelation therapy (for those unable to undergo phlebotomy),Serum transferrin saturation; Serum ferritin; Liver function tests; MRI; Testing for gene changes (HFE gene); Liver biopsy,Information not found
Hemolytic uremic syndrome (HUS),Hemolytic uremic syndrome (HUS),"Diagnosis is confirmed through physical exam and lab tests showing damaged red blood cells, low platelet and red blood cell counts, and elevated creatinine levels.  Urine tests may reveal unusual protein and blood levels and signs of infection. Stool samples may identify E. coli and other bacteria.  Further testing may be needed if the cause isn't clear.",Fluid and mineral replacement; Intravenous nutrition; Red blood cell transfusions; Platelet transfusions; Blood pressure medication; Eculizumab; Kidney dialysis; Plasma exchange; Kidney transplant,Blood tests; Urine test; Stool sample,Eculizumab (Soliris); Blood pressure medication
Hemophilia,Hemophilia,Severe hemophilia is usually diagnosed within the first year of life; mild forms may not be apparent until adulthood; diagnosis may occur after excessive bleeding during surgery; clotting-factor tests reveal clotting-factor deficiency and severity; genetic testing can identify carriers and fetal hemophilia.,Clotting factor replacement therapy; Desmopressin; Emicizumab (Hemlibra); Clot-preserving medications (anti-fibrinolytics); Fibrin sealants; Physical therapy,Clotting-factor tests; Genetic testing,Desmopressin; Emicizumab (Hemlibra); Acetaminophen; Aspirin; Ibuprofen; Heparin; Warfarin (Jantoven); Clopidogrel (Plavix); Prasugrel (Effient); Ticagrelor (Brilinta); Rivaroxaban (Xarelto); Apixaban (Eliquis); Edoxaban (Savaysa); Dabigatran (Pradaxa)
Hemorrhoids,Hemorrhoids,"External hemorrhoids may be visible during a physical exam; Internal hemorrhoids may require a digital rectal exam and visual inspection using an anoscope, proctoscope, or sigmoidoscopy; Colonoscopy may be indicated if symptoms suggest other digestive diseases, colorectal cancer risk factors are present, or if the patient is middle-aged and hasn't had a recent colonoscopy.","High-fiber diet; Topical treatments (hydrocortisone cream/suppository, witch hazel pads, numbing medicine); Warm baths or sitz baths; Oral pain relievers (acetaminophen, aspirin, ibuprofen); Rubber band ligation; Sclerotherapy; Coagulation (laser, infrared light, or heat); Hemorrhoidectomy; Hemorrhoid stapling (stapled hemorrhoidopexy); External hemorrhoid thrombectomy","Digital rectal examination; Visual inspection (anoscope, proctoscope, sigmoidoscopy); Colonoscopy",Hydrocortisone; Lidocaine; Acetaminophen; Aspirin; Ibuprofen
Hepatic encephalopathy,Hepatic encephalopathy,"Diagnosis is based on medical history, signs and symptoms, medication use, and results of blood tests and other tests.  Psychological exams (including animal naming tests), neuropsychological tests (like the Psychometric Hepatic Encephalopathy Score and continuous reaction time tests), and assessment of thinking, motor skills, speed, and hand coordination are used.  The West Haven criteria grade severity from 0 (no symptoms, detected only by tests) to 4 (hepatic coma, unresponsive).",Treating the underlying cause; ICU treatment for severe cases; Bowel enema; TIPS surgery; Liver transplant; Lifestyle and dietary changes; Medication changes; Vitamin supplementation;  Regular exercise; Home modifications,"Psychological exam; Neuropsychological tests; Blood tests (ammonia, electrolytes, glucose, C-reactive protein); Electroencephalogram (EEG); CT scan; MRI scan",Lactulose; Rifaximin (Xifaxan); L-ornithine L-aspartate (LOLA); Polyethylene glycol laxatives; Zinc supplement
Hepatitis A,Hepatitis A,Blood tests are used to detect the hepatitis A virus in the blood; these tests look for signs of the virus.,Rest; Adequate food and liquid intake; Balanced healthy diet; Avoiding alcohol; Careful medication use,Alanine aminotransferase (ALT) blood test; Aspartate aminotransferase (AST) blood test,Information not found
Hepatitis B,Hepatitis B,"Physical exam assessing for symptoms of liver damage (e.g., yellowing skin, stomach pain); blood tests to detect hepatitis B virus and determine infection type (acute or chronic) and immunity status.  Liver ultrasound (transient elastography) to assess liver damage; liver biopsy to examine liver tissue for damage.",Rest; Proper nutrition; Plenty of fluids; Close monitoring; Antiviral medications; Interferon shots; Liver transplant,Blood tests; Liver ultrasound (transient elastography); Liver biopsy,entecavir (Baraclude); tenofovir (Viread); lamivudine (Epivir); adefovir (Hepsera); peginterferon alfa-2a (Pegasys); Immunoglobulin
Hepatitis C,Hepatitis C,"Screening blood tests detect hepatitis C; further blood tests measure viral load and determine genotype; liver damage assessment involves tests like magnetic resonance elastography (MRE), transient elastography, liver biopsy, and blood tests for liver scarring.",Antiviral medicines; liver transplantation.,Blood test; viral load test; genotype test; magnetic resonance elastography (MRE); transient elastography; liver biopsy; alanine aminotransferase (ALT) blood test; aspartate aminotransferase (AST) blood test.,Direct-acting antiviral medicines.
Hepatopulmonary syndrome,Hepatopulmonary syndrome,"Hepatopulmonary syndrome is diagnosed through tests that assess blood oxygen levels and rule out other heart or lung conditions.  Key diagnostic methods include arterial blood gas analysis, chest imaging (X-rays, CT scans, echocardiogram with saline contrast study), and pulse oximetry.",Supplemental oxygen therapy; Liver transplant,Arterial blood gas; Chest X-ray; CT scan; Echocardiogram with saline contrast study; Pulse oximetry,Information not found
Hereditary hemorrhagic telangiectasia,Hereditary hemorrhagic telangiectasia,Physical exam; Imaging tests; Family history; Genetic testing.,Treatment at HHT Center of Excellence; Ablation; Skin graft; Surgically closing the nostrils; Embolization; Surgical removal; Stereotactic radiotherapy; Liver transplant.,Ultrasound; MRI; Echocardiogram bubble study; CT scan.,"Tamoxifen (Soltamox); Raloxifene (Evista); Bevacizumab (Avastin); Pazopanib (Votrient); Pomalidomide (Pomalyst); Tacrolimus (Prograf, Protopic); Tranexamic acid (Cyklokapron, Lysteda); Iron replacement."
Herniated disk,Herniated disk,"In most cases, a physical exam and medical history are sufficient for diagnosis.  If other conditions are suspected or nerve involvement needs clarification, further testing is done.","Conservative treatment (activity modification, pain medication); Physical therapy; Surgery (diskectomy, rarely spinal fusion or artificial disk implantation)","Physical exam; Neurological exam (checking reflexes, muscle strength, walking ability, sensation); X-ray; CT scan; MRI; Myelogram; Nerve conduction studies; Electromyogram (EMG)",Acetaminophen; Ibuprofen; Naproxen sodium; Gabapentin; Pregabalin; Duloxetine; Venlafaxine; Codeine; Oxycodone-acetaminophen combination; Corticosteroids
Hiatal hernia,Hiatal hernia,Hiatal hernia is often discovered during a test or procedure for heartburn or chest/upper abdominal pain.  Diagnosis may involve X-ray of the upper digestive system; upper endoscopy; esophageal manometry.,Lifestyle changes; Medications; Surgery,X-ray of upper digestive system; Upper endoscopy; Esophageal manometry,"Cimetidine (Tagamet HB); Famotadine (Pepcid AC); Nizatidine (Axid AR); Lansoprazole (Prevacid 24HR); Omeprazole (Prilosec, Zegerid); Antacids; Proton pump inhibitors; H-2-receptor blockers"
Hiccups,Hiccups,"Physical exam including neurological exam (balance, coordination, muscle strength, reflexes, sight, touch);  If underlying condition suspected, further tests are recommended.","Treating underlying condition (if present);  For hiccups lasting >2 days: medication; phrenic nerve block injection; vagus nerve stimulation device implantation; home remedies (breathing into a paper bag, gargling with ice water, holding breath, sipping cold water); lifestyle changes (avoiding carbonated beverages and gas-inducing foods, eating smaller meals); alternative medicine (hypnosis, acupuncture).",Blood tests; Chest X-ray; CT scan; MRI; Endoscopic tests (esophagoscopy),Baclofen; Chlorpromazine; Metoclopramide
